Country,Store,Revenue
Canada,Acceptable Sales & Service,80000
Canada,Active Life Toys,80000
Canada,Bikes for Two,80000
Canada,Commuter Bicycle Store,80000
Canada,Corner Bicycle Supply,80000
Canada,Eastside Parts Shop,80000
Canada,Family Cycle Store,80000
Canada,Family's Favorite Bike Shop,80000
Canada,Fasteners & Bolts Outlet,80000
Canada,Finer Cycle Shop,80000
Canada,Gear-Shift Bikes Limited,80000
Canada,General Cycle Storehouse,80000
Canada,General Supplies,80000
Canada,Home Town Bike Store,80000
Canada,Large Bike Shop,80000
Canada,Leisure Activities,80000
Canada,Machines & Cycles Store,80000
Canada,Online Bike Warehouse,80000
Canada,Red Bicycle Company,80000
Canada,Remote Bicycle Specialists,80000
Canada,Rural Cycle Emporium,80000
Canada,Scratch-Resistant Finishes Company,80000
Canada,Sharp Bikes,80000
Canada,Superb Sales and Repair,80000
Canada,Tenth Bike Store,80000
Canada,Transportation Options,80000
Canada,Twelfth Bike Store,80000
Canada,Consolidated Messenger,30000
Canada,Courteous Bicycle Specialists,30000
Canada,General Department Stores,30000
Canada,Metal Clearing House,30000
Canada,Nice Bikes,30000
Canada,Non-Slip Pedal Company,30000
Canada,Operational Manufacturing,30000
Canada,Quick Parts and Service,30000
Canada,Refined Department Stores,30000
Canada,Retreat Inn,30000
Canada,Road Way Sales and Rental,30000
Canada,Rural Bicycle Supply,30000
Canada,Sundry Sporting Goods,30000
Canada,The Commissary,30000
Canada,Valley Toy Store,30000
France,Ace Bicycle Supply,300000
France,Brand New Bikes,300000
France,Favorite Toy Distributor,300000
France,Getaway Inn,300000
France,Metropolitan Equipment,300000
France,Perfect Toys,300000
France,Racing Sales and Service,300000
France,Racing Store,300000
France,Registered Cycle Store,300000
France,Spa and Exercise Outfitters,300000
France,Sports Products Store,300000
France,Steel Inc.,300000
France,Ultimate Bicycle Company,300000
France,Community Department Stores,150000
France,Finished Parts Shop,150000
France,First Center,150000
France,Full Sports Supply,150000
France,Hiatus Bike Tours,150000
France,Major Amusement Company,150000
France,Metro Sports Equipment,150000
France,Racing Supply Distributors,150000
France,Racing Tours,150000
France,Rural Mountain Bike Mart,150000
France,Atypical Bike Company,100000
France,Cycles Sales and Repair,100000
France,Accessories Network,80000
France,Country Parts Shop,80000
France,Finer Sporting Goods,80000
France,Impervious Paint Company,80000
France,Instant Cycle Store,80000
France,Neighborhood Bicycle Storehouse,80000
France,Recreation Toy Store,80000
France,Roadway Bicycle Supply,80000
France,Spare Parts Co.,80000
France,The Bike Outlet,80000
France,Township Inn,80000
France,Wheels Inc.,80000
France,Outdoor Toy Store,30000
France,Pretty Bikes and Toys,30000
France,Self-Contained Cycle Parts Company,30000
Germany,Amalgamated Parts Shop,300000
Germany,Best Cycle Store,300000
Germany,Excellent Bikes,300000
Germany,Functional Store South,300000
Germany,Good Bicycle Store,300000
Germany,Lustrous Paints and Components,300000
Germany,Nearby Bike Mall,300000
Germany,Showcase for Cycles,300000
Germany,Versatile Sporting Goods Company,300000
Germany,Bicycle Exporters,150000
Germany,Capital Riding Supplies,150000
Germany,Global Bike Retailers,150000
Germany,Hometown Riding Supplies,150000
Germany,Links Works,150000
Germany,Major Equipment Co,150000
Germany,North Bike Company,150000
Germany,Pedaling Components,150000
Germany,Precision Gears Inc.,150000
Germany,Primary Cycle Shop,150000
Germany,Speedometer Sales,150000
Germany,Top of the Line Bikes,150000
Germany,Bicycle Warehouse Inc.,100000
Germany,Next Door Cycles,100000
Germany,Very Best Sports Supply,100000
Germany,West Wind Distributors,100000
Germany,Educational Services,80000
Germany,Enterprise Center,80000
Germany,"Fabrikam Inc., East",80000
Germany,Fitness Toys,80000
Germany,Mechanical Brake Manufacturers,80000
Germany,Off-Price Bike Center,80000
Germany,Producer Goods Clearinghouse,80000
Germany,Rambling Tours,80000
Germany,Rural Sporting Goods,80000
Germany,Rustic Bike Store,80000
Germany,Teen Discount Store,80000
Germany,Fast Services,30000
Germany,Irregulars Outlet,30000
Germany,Regional Cycle Shop,30000
Germany,Rodeway Bike Store,30000
United Kingdom,Central Bicycle Specialists,300000
United Kingdom,Downhill Bicycle Specialists,300000
United Kingdom,Exclusive Bicycle Mart,300000
United Kingdom,Exhibition Showroom,300000
United Kingdom,Extended Tours,300000
United Kingdom,Metro Metals Co.,300000
United Kingdom,Metropolitan Bicycle Supply,300000
United Kingdom,Nearby Sporting Goods,300000
United Kingdom,Prosperous Tours,300000
United Kingdom,Rampart Amusement Company,300000
United Kingdom,Riding Cycles,300000
United Kingdom,Sports Store,300000
United Kingdom,Tubeless Tire Company,300000
United Kingdom,Vigorous Sports Store,300000
United Kingdom,Action Bicycle Specialists,150000
United Kingdom,Area Sheet Metal Supply,150000
United Kingdom,Channel Outlet,150000
United Kingdom,Consumer Equipment,150000
United Kingdom,Cycling Goods,150000
United Kingdom,Essential Bike Works,150000
United Kingdom,Express Bike Services,150000
United Kingdom,Number One Bike Co.,150000
United Kingdom,Oils and Fluids Warehouse,150000
United Kingdom,Exceptional Cycle Services,100000
United Kingdom,Tachometers and Accessories,100000
United Kingdom,Authentic Sales and Service,80000
United Kingdom,Bulk Discount Store,80000
United Kingdom,Closest Bicycle Store,80000
United Kingdom,Commerce Bicycle Specialists,80000
United Kingdom,Cycles Wholesaler & Mfg.,80000
United Kingdom,Leisure Clearing House,80000
United Kingdom,Mail Market,80000
United Kingdom,Nearby Cycle Shop,80000
United Kingdom,Shipping Specialists,80000
United Kingdom,Uttermost Bike Shop,80000
United Kingdom,Variety Cycling,80000
United Kingdom,West Side Mart,80000
United Kingdom,Instruments and Parts Company,30000
United Kingdom,Little Sports Center,30000
United Kingdom,Outdoor Aerobic Systems Company,30000
United States,Acclaimed Bicycle Company,300000
United States,Active Cycling,300000
United States,Authorized Bike Sales and Rental,300000
United States,Bicycle Lines Distributors,300000
United States,Bicycle Merchandise Warehouse,300000
United States,Bicycle Outfitters,300000
United States,Big Cycle Mall,300000
United States,Big-Time Bike Store,300000
United States,Bike Experts,300000
United States,Bike Goods ,300000
United States,Bike Rims Company,300000
United States,Bold Bike Accessories,300000
United States,Catalog Store,300000
United States,Chic Department Stores,300000
United States,City Manufacturing,300000
United States,Closeout Boutique,300000
United States,Coho Sports,300000
United States,Commercial Sporting Goods,300000
United States,Convenient Sales and Service,300000
United States,Curbside Universe,300000
United States,Designer Department Stores,300000
United States,Distinctive Cycles Sales & Service,300000
United States,Downtown Hotel,300000
United States,Eastside Department Store,300000
United States,eCommerce Bikes,300000
United States,Elite Bikes,300000
United States,Endurance Bikes,300000
United States,Every Bike Shop,300000
United States,Executive Gift Store,300000
United States,Exotic Bikes,300000
United States,Expert Sports Store,300000
United States,Extended Bike Sales,300000
United States,Extraordinary Bike Works,300000
United States,Extreme Riding Supplies,300000
United States,Extreme Toy Store,300000
United States,Family Entertainment Center,300000
United States,Fashionable Bikes and Accessories,300000
United States,Fashionable Department Stores,300000
United States,Fitness Hotel,300000
United States,Fitness Toy Store,300000
United States,Friendly Bike Shop,300000
United States,Front Runner Bikes,300000
United States,Front Sporting Goods,300000
United States,Futuristic Bikes,300000
United States,Futuristic Sport Distributors,300000
United States,Genial Bike Associates,300000
United States,Genuine Bike Shop,300000
United States,Go-cart and Bike Specialists,300000
United States,Golf and Cycle Store,300000
United States,Grand Discount Store,300000
United States,Grown-up Bike Store,300000
United States,Handy Bike Services,300000
United States,Hardware Components,300000
United States,Healthy Activity Store,300000
United States,Honest Repair Service,300000
United States,Immense Manufacturing Company,300000
United States,Industrial Supplies,300000
United States,Larger Cycle Shop,300000
United States,Leading Sales & Repair,300000
United States,Lease-a-Bike Shop,300000
United States,Leather and Vinyl Manufacturing,300000
United States,Lots of Bikes Storehouse,300000
United States,Main Bicycle Services,300000
United States,Major Sport Suppliers,300000
United States,Metro Bike Mart,300000
United States,Metro Bike Works,300000
United States,Metro Cycle Shop,300000
United States,More Bikes!,300000
United States,Nonskid Tire Company,300000
United States,Novelty Bikes,300000
United States,Number 1 Supply,300000
United States,One-Piece Handle Bars,300000
United States,Outdoor Equipment Store,300000
United States,Outdoor Sporting Goods,300000
United States,Outstanding Cycles,300000
United States,Paint Supply,300000
United States,Permanent Finish Products,300000
United States,Preferred Bikes,300000
United States,Principal Bike Company,300000
United States,Pro Sporting Goods,300000
United States,Professional Sporting Goods,300000
United States,Qualified Sales and Repair Services,300000
United States,Racing Association,300000
United States,Racing Bike Outlet,300000
United States,Rally Day Mall,300000
United States,Rally Master Company Inc,300000
United States,Raw Materials Inc,300000
United States,Real Sporting Goods,300000
United States,Retail Sporting Equipment,300000
United States,Retail Sporting Goods,300000
United States,Roadway Bike Emporium,300000
United States,Roadway Supplies,300000
United States,Rugged Bikes,300000
United States,Safe Cycles Shop,300000
United States,Safe Toys,300000
United States,Sales and Supply Company,300000
United States,Satin Finish Company,300000
United States,Sensational Discount Store,300000
United States,Sleek Bikes ,300000
United States,Solid Bike Parts,300000
United States,Sparkling Paint and Finishes,300000
United States,Spoke Manufacturers,300000
United States,Sporting Goods and Bicycle Shop,300000
United States,Sports Merchandise,300000
United States,Sports Sales and Rental,300000
United States,Stationary Bikes and Stands,300000
United States,Stock Parts and Supplies,300000
United States,Summer Sports Place,300000
United States,Super Sports Store,300000
United States,Systematic Sales,300000
United States,The Bike Shop,300000
United States,Tires and Tubes,300000
United States,Trailblazing Sports,300000
United States,Tread Industries,300000
United States,Two-Seater Bikes,300000
United States,Ultimate Bike Shop,300000
United States,Unified Sports Company,300000
United States,Utilitarian Sporting Goods,300000
United States,Valley Bicycle Distributors,300000
United States,Valley Bicycle Specialists,300000
United States,Vast Bike Sales and Rental,300000
United States,Westside Plaza,300000
United States,Wheel Gallery,300000
United States,Wheelsets Storehouse,300000
United States,Year-Round Sports,300000
United States,Active Systems,150000
United States,Activity Center,150000
United States,Advanced Bike Components,150000
United States,Aerobic Exercise Company,150000
United States,Alpine Ski House,150000
United States,Alternative Vehicles,150000
United States,Another Sporting Goods Company,150000
United States,Basic Sports Equipment,150000
United States,Bike Boutique,150000
United States,Bike Dealers Association,150000
United States,Bike World,150000
United States,Black Bicycle Company,150000
United States,Blue Bicycle Company,150000
United States,Brightwork Company,150000
United States,Cash & Carry Bikes,150000
United States,Commendable Bikes,150000
United States,Consolidated Sales,150000
United States,Convenient Bike Shop,150000
United States,Cycle Clearance,150000
United States,Cycles and Scooters,150000
United States,Distant Inn,150000
United States,Distinctive Store,150000
United States,Economic Parts Supply,150000
United States,Economy Bikes Company,150000
United States,Eighty Toy Stores,150000
United States,Elemental Sporting Goods,150000
United States,Engineered Bike Systems,150000
United States,Executive Discount Store,150000
United States,Exertion Activities Club,150000
United States,Exhilarating Cycles,150000
United States,Field Trip Inc,150000
United States,Finer Mart,150000
United States,First Department Stores,150000
United States,Fitness Department Stores,150000
United States,Fleet Bikes,150000
United States,Friendly Bike Shop,150000
United States,Full-Service Bike Store,150000
United States,Games and Sport Supply Company,150000
United States,Gift and Toy Store,150000
United States,Global Sporting Goods,150000
United States,Grand Cycle Store,150000
United States,Grand Sport Boutique,150000
United States,Grease and Oil Products Company,150000
United States,Highway Bike Shop,150000
United States,Historic Bicycle Sales,150000
United States,Impromptu Trips,150000
United States,Incomparable Bicycle Store,150000
United States,Latest Accessories Sales,150000
United States,Local Hardware Factory,150000
United States,Locks Company,150000
United States,Lubricant and Grease Suppliers,150000
United States,Maintenance and Repair for Bicycles,150000
United States,Major Sporting Goods,150000
United States,Manufacturers Inc,150000
United States,Margie's Travel,150000
United States,Mechanical Products Ltd.,150000
United States,Mechanical Sports Center,150000
United States,Metropolitan Manufacturing,150000
United States,Moderately-Priced Bikes Store,150000
United States,Mountain Emporium,150000
United States,New Bikes Company,150000
United States,Online Bike Sellers,150000
United States,Only Bikes and Accessories,150000
United States,Orange Bicycle Company,150000
United States,Outdoor Distributors,150000
United States,Parcel Express Delivery Service,150000
United States,Parts Shop,150000
United States,Pedal Systems Company,150000
United States,Principal Bicycle Supply,150000
United States,Professional Containers and Packaging Co.,150000
United States,Purchase Mart,150000
United States,Quitting Business Distributors,150000
United States,Racks and Security Systems,150000
United States,Regional Manufacturing,150000
United States,Rental Bikes,150000
United States,Resident Cycle Shop,150000
United States,Responsible Bike Dealers,150000
United States,Retail Cycle Shop,150000
United States,Riding Associates,150000
United States,Riverside Company,150000
United States,Roving Sports,150000
United States,Rural Department Store,150000
United States,Rural Sales and Service,150000
United States,Security Racks and Locks Wholesalers,150000
United States,Sellers of Cycles,150000
United States,Small Bike Accessories Shop,150000
United States,Social Activities Club,150000
United States,Sports Commodities,150000
United States,Strong Metal Manufacturing,150000
United States,Stylish Department Stores,150000
United States,Successful Sales Company,150000
United States,Sunny Place Bikes,150000
United States,Superlative Bikes,150000
United States,Synthetic Materials Manufacturing,150000
United States,Tandem Bicycle Store,150000
United States,The Bicycle Accessories Company,150000
United States,The New Bike Store,150000
United States,Third Bike Store,150000
United States,This Area Sporting Goods,150000
United States,Thrilling Bike Tours,150000
United States,Tire Company,150000
United States,Tough and Reliable Parts,150000
United States,Touring Services,150000
United States,Town Industries,150000
United States,Traction Tire Company,150000
United States,Transport Bikes,150000
United States,Unsurpassed Bikes,150000
United States,Vale Riding Supplies,150000
United States,Vehicle Shop,150000
United States,Village Tours,150000
United States,Western Bike Supplies,150000
United States,Widget Bicycle Specialists,150000
United States,Wonderful Bikes Inc.,150000
United States,World Bike Discount Store,150000
United States,A Great Bicycle Company,100000
United States,All Cycle Shop,100000
United States,Bike Universe,100000
United States,Bikes Anyone?,100000
United States,Center Cycle Shop,100000
United States,Central Discount Store,100000
United States,Certified Bicycle Supply,100000
United States,Client Discount Store,100000
United States,"Contoso, Ltd.",100000
United States,Countryside Company,100000
United States,Demand Distributors,100000
United States,Discount Bicycle Specialists,100000
United States,Discount Tours,100000
United States,Famous Bike Sales and Service,100000
United States,Fifth Bike Store,100000
United States,Friendly Neighborhood Bikes,100000
United States,Great Bicycle Supply,100000
United States,Guaranteed Sales and Service,100000
United States,Imported and Domestic Cycles,100000
United States,Independent Outlet,100000
United States,Metallic Paint and Overcoat Co,100000
United States,Official Parts Shop,100000
United States,Painters Bicycle Specialists,100000
United States,Practical Bike Supply Company,100000
United States,Riding Excursions,100000
United States,Road-Way Mart,100000
United States,Selected Distributors,100000
United States,Small Cycle Store,100000
United States,Some Discount Store,100000
United States,Sports Products Store,100000
United States,Superior Hardware Distributors,100000
United States,Timely Shipping Service,100000
United States,Trusted Catalog Store,100000
United States,Unique Bikes,100000
United States,Wholesale Bikes,100000
United States,Yellow Bicycle Company,100000
United States,A Bicycle Association,80000
United States,A Cycle Shop,80000
United States,Basic Bike Company,80000
United States,Best o' Bikes,80000
United States,Better Bike Shop,80000
United States,Bike Products and Accessories,80000
United States,Brakes and Gears,80000
United States,Brown Bicycle Company,80000
United States,Budget Bike Company,80000
United States,Casual Bicycle Store,80000
United States,Chain and Chain Tool Distributions,80000
United States,Clamps & Brackets Co.,80000
United States,Classic Cycle Store,80000
United States,Coalition Bike Company,80000
United States,Curbside Sporting Goods,80000
United States,Distance Bikes,80000
United States,District Mall,80000
United States,Eastside Sporting Goods,80000
United States,Eighth Bike Store,80000
United States,Eleventh Bike Store,80000
United States,Exemplary Cycles,80000
United States,Exercise Center,80000
United States,"Fabrikam Inc., West",80000
United States,Finer Parts Shop,80000
United States,Finish and Sealant Products,80000
United States,First Bike Store,80000
United States,Fitness Cycling,80000
United States,Fitness Sport Boutique,80000
United States,Fitness Supplies,80000
United States,Frugal Bike Shop,80000
United States,Fun Times Club,80000
United States,Functional Store North,80000
United States,Global Plaza,80000
United States,Glossy Bikes,80000
United States,Good Bike Shop,80000
United States,Imaginary Toys,80000
United States,Immediate Repair Shop,80000
United States,Initial Bike Company,80000
United States,Journey Sporting Goods,80000
United States,Juvenile Sports Equipment,80000
United States,Latest Sports Equipment,80000
United States,Leading Bike Distributors,80000
United States,Mail-Order Outlet,80000
United States,Metropolitan Sports Supply,80000
United States,Mobile Outlet,80000
United States,Modern Bike Store,80000
United States,Mountain Bike Center,80000
United States,Mountain Bike Store,80000
United States,Mountain Toy Store,80000
United States,New and Used Bicycles,80000
United States,Next-Door Bike Store,80000
United States,Noiseless Gear Company,80000
United States,Paints and Solvents Company,80000
United States,Pedals Warehouse,80000
United States,Professional Sales and Service,80000
United States,Progressive Sports,80000
United States,Quantity Discounts,80000
United States,Racing Toys,80000
United States,Recreation Supplies,80000
United States,Recreation Systems,80000
United States,Remarkable Bike Store,80000
United States,Resale Services,80000
United States,Retail Sales and Service,80000
United States,Retread Tire Company,80000
United States,Riders Company,80000
United States,Scooters and Bikes Store,80000
United States,Separate Parts Corporation,80000
United States,Sheet Metal Manufacturing,80000
United States,Simple Bike Parts,80000
United States,Small Bike Shop,80000
United States,Specialty Sports Store,80000
United States,Sure & Reliable Sporting Goods,80000
United States,Swift Cycles,80000
United States,The Accessories Store,80000
United States,The Bike Mechanics,80000
United States,The Cycle Store,80000
United States,The Gear Store,80000
United States,Thorough Parts and Repair Services,80000
United States,Topnotch Bikes,80000
United States,Traditional Department Stores,80000
United States,Travel Sports,80000
United States,Travel Systems,80000
United States,Two Bike Shops,80000
United States,Two Wheels Cycle Store,80000
United States,Underglaze and Finish Company,80000
United States,"Unicycles, Bicycles, and Tricycles",80000
United States,Valuable Bike Parts Company,80000
United States,Westside Cycle Store,80000
United States,Wingtip Toys,80000
United States,Wire Baskets and Parts,80000
United States,Work and Play Association,80000
United States,World of Bikes,80000
United States,A Bike Store,30000
United States,A Typical Bike Shop,30000
United States,Active Transport Inc.,30000
United States,Affordable Sports Equipment,30000
United States,All Seasons Sports Supply,30000
United States,Another Bicycle Company,30000
United States,Area Bike Accessories,30000
United States,Associated Bikes,30000
United States,Beneficial Exercises and Activities,30000
United States,Bicycle Accessories and Kits,30000
United States,Blue-Ribbon Bike Company,30000
United States,Capable Sales and Service,30000
United States,Daring Rides,30000
United States,Excellent Riding Supplies,30000
United States,Exchange Parts Inc.,30000
United States,Extras Sporting Goods,30000
United States,Fad Outlet,30000
United States,Farthermost Bike Shop,30000
United States,Field Trip Store,30000
United States,First Cycle Store,30000
United States,Flawless Bike Shop,30000
United States,Fourth Bike Store,30000
United States,Fun Toys and Bikes,30000
United States,General Associates,30000
United States,Good Toys,30000
United States,Grand Bicycle Stores,30000
United States,Great Bikes ,30000
United States,Hobby Store,30000
United States,Kickstand Sellers,30000
United States,Kickstands and Accessories Company,30000
United States,Largest Bike Store,30000
United States,Little Bicycle Supply Shop,30000
United States,Local Sales and Rental,30000
United States,Many Bikes Store,30000
United States,Metropolitan Sales and Rental,30000
United States,Modular Cycle Systems,30000
United States,Optimal Bikes,30000
United States,Outdoor Sports Supply,30000
United States,Out-of-the-Way Hotels,30000
United States,Professional Cycle Store,30000
United States,Reasonable Bicycle Sales,30000
United States,Reliable Brake Systems,30000
United States,Retail Toy Store,30000
United States,Retirement Activities Association,30000
United States,Running and Cycling Gear,30000
United States,Sample Bike Store,30000
United States,Seventh Bike Store,30000
United States,Strenuous Exercise Shop,30000
United States,Sturdy Toys,30000
United States,Suburban Cycle Shop,30000
United States,Technical Parts Manufacturing,30000
United States,Thrifty Parts and Sales,30000
United States,Tiny Bike Boutique,30000
United States,Totes & Baskets Company,30000
United States,Trendy Department Stores,30000
United States,Variety Bike Outlet,30000
United States,Vintage Sport Boutique,30000
United States,Weekend Bike Tours,30000
United States,Weekend Tours,30000
United States,Worthwhile Activity Store,30000
